service,segment,unique_page_views,page_views
HMRC CC,idp_chosen,2049,2721
HMRC CC,matching,1398,2281
HMRC CC,can_i-be-verified,2357,2980
HMRC CC,success_register,640,665
HMRC CC,about_identity_accounts,2637,3404
HMRC CC,select_all_the_downuments_you_have,2238,3004
HMRC CC,what-technology_can_you_use,2114,2877
HMRC CC,choose_a_certified_company,2052,3085
HMRC CC,cancel_register,613,726
HMRC CC,about_cerified_conmpanies,2808,3720
HMRC CC,success_sign,1164,1914
HMRC CC,choosing,2450,3120
HMRC CC,register_failure,60,76
HMRC CC,about,2840,3886
HMRC CC,select_your-certified_company,1829,3148
HMRC CC,you'll_now_be_directed_to_your_chosen_compmay,1930,2828
HMRC CC,sign_in_start,1708,3198
HMRC SA,idp_chosen,25241,48622
HMRC SA,matching,24814,48038
HMRC SA,can_i-be-verified,25400,48758
HMRC SA,success_register,24627,47717
HMRC SA,about_identity_accounts,25532,48955
HMRC SA,select_all_the_downuments_you_have,25330,48749
HMRC SA,what-technology_can_you_use,25272,48697
HMRC SA,choose_a_certified_company,25244,48767
HMRC SA,cancel_register,24663,47801
HMRC SA,about_cerified_conmpanies,25625,49120
HMRC SA,success_sign,24709,47922
HMRC SA,choosing,25438,48815
HMRC SA,register_failure,24439,47521
HMRC SA,about,25640,49196
HMRC SA,select_your-certified_company,25042,48574
HMRC SA,you'll_now_be_directed_to_your_chosen_compmay,25189,48658
HMRC SA,sign_in_start,24929,48370
BIS RP,idp_chosen,2521,3852
BIS RP,matching,1908,3477
BIS RP,can_i-be-verified,2827,4117
BIS RP,success_register,1137,1848
BIS RP,about_identity_accounts,3104,4537
BIS RP,select_all_the_downuments_you_have,2712,4131
BIS RP,what-technology_can_you_use,2588,4003
BIS RP,choose_a_certified_company,2526,4206
BIS RP,cancel_register,1104,1899
BIS RP,about_cerified_conmpanies,3275,4850
BIS RP,success_sign,1666,3100
BIS RP,choosing,2920,4256
BIS RP,register_failure,564,1266
BIS RP,about,3307,5014
BIS RP,select_your-certified_company,2325,4319
BIS RP,you'll_now_be_directed_to_your_chosen_compmay,2405,3953
BIS RP,sign_in_start,2203,4370
DEFRA RP,idp_chosen,2137,2906
DEFRA RP,matching,1486,2464
DEFRA RP,can_i-be-verified,2442,3160
DEFRA RP,success_register,731,853
DEFRA RP,about_identity_accounts,2720,3581
DEFRA RP,select_all_the_downuments_you_have,2323,3184
DEFRA RP,what-technology_can_you_use,2199,3057
DEFRA RP,choose_a_certified_company,2137,3266
DEFRA RP,cancel_register,703,913
DEFRA RP,about_cerified_conmpanies,2891,3897
DEFRA RP,success_sign,1251,2096
DEFRA RP,choosing,2534,3299
DEFRA RP,register_failure,150,263
DEFRA RP,about,2923,4063
DEFRA RP,select_your-certified_company,1908,3318
DEFRA RP,you'll_now_be_directed_to_your_chosen_compmay,2018,3012
DEFRA RP,sign_in_start,1791,3374
HMRC FF,idp_chosen,2131,2983
HMRC FF,matching,1487,2547
HMRC FF,can_i-be-verified,2439,3240
HMRC FF,success_register,725,931
HMRC FF,about_identity_accounts,2718,3660
HMRC FF,select_all_the_downuments_you_have,2320,3263
HMRC FF,what-technology_can_you_use,2196,3136
HMRC FF,choose_a_certified_company,2134,3344
HMRC FF,cancel_register,701,995
HMRC FF,about_cerified_conmpanies,2889,3973
HMRC FF,success_sign,1254,2181
HMRC FF,choosing,2532,3380
HMRC FF,register_failure,148,345
HMRC FF,about,2920,4136
HMRC FF,select_your-certified_company,1912,3402
HMRC FF,you'll_now_be_directed_to_your_chosen_compmay,2012,3089
HMRC FF,sign_in_start,1796,3460
DWP UCDS,idp_chosen,4513,8101
DWP UCDS,matching,3992,7888
DWP UCDS,can_i-be-verified,4821,8383
DWP UCDS,success_register,3244,6283
DWP UCDS,about_identity_accounts,5087,8787
DWP UCDS,select_all_the_downuments_you_have,4711,8386
DWP UCDS,what-technology_can_you_use,4589,8257
DWP UCDS,choose_a_certified_company,4528,8443
DWP UCDS,cancel_register,3181,6272
DWP UCDS,about_cerified_conmpanies,5250,9086
DWP UCDS,success_sign,3777,7538
DWP UCDS,choosing,4908,8523
DWP UCDS,register_failure,2693,5725
DWP UCDS,about,5281,9243
DWP UCDS,select_your-certified_company,4375,8621
DWP UCDS,you'll_now_be_directed_to_your_chosen_compmay,4410,8197
DWP UCDS,sign_in_start,4254,8683
DVLA F2D RENEW,idp_chosen,2002,2658
DVLA F2D RENEW,matching,1354,2221
DVLA F2D RENEW,can_i-be-verified,2310,2917
DVLA F2D RENEW,success_register,592,601
DVLA F2D RENEW,about_identity_accounts,2590,3341
DVLA F2D RENEW,select_all_the_downuments_you_have,2191,2941
DVLA F2D RENEW,what-technology_can_you_use,2067,2814
DVLA F2D RENEW,choose_a_certified_company,2005,3022
DVLA F2D RENEW,cancel_register,564,661
DVLA F2D RENEW,about_cerified_conmpanies,2761,3657
DVLA F2D RENEW,success_sign,1119,1853
DVLA F2D RENEW,choosing,2403,3057
DVLA F2D RENEW,register_failure,11,11
DVLA F2D RENEW,about,2793,3823
DVLA F2D RENEW,select_your-certified_company,1782,3085
DVLA F2D RENEW,you'll_now_be_directed_to_your_chosen_compmay,1883,2765
DVLA F2D RENEW,sign_in_start,1663,3137
DVLA F2D REPORT,idp_chosen,2002,2658
DVLA F2D REPORT,matching,1354,2221
DVLA F2D REPORT,can_i-be-verified,2310,2917
DVLA F2D REPORT,success_register,592,601
DVLA F2D REPORT,about_identity_accounts,2590,3341
DVLA F2D REPORT,select_all_the_downuments_you_have,2191,2941
DVLA F2D REPORT,what-technology_can_you_use,2067,2814
DVLA F2D REPORT,choose_a_certified_company,2005,3022
DVLA F2D REPORT,cancel_register,564,661
DVLA F2D REPORT,about_cerified_conmpanies,2761,3657
DVLA F2D REPORT,success_sign,1119,1853
DVLA F2D REPORT,choosing,2403,3057
DVLA F2D REPORT,register_failure,11,11
DVLA F2D REPORT,about,2793,3823
DVLA F2D REPORT,select_your-certified_company,1782,3085
DVLA F2D REPORT,you'll_now_be_directed_to_your_chosen_compmay,1883,2765
DVLA F2D REPORT,sign_in_start,1663,3137
DVLA VDL,idp_chosen,2002,2658
DVLA VDL,matching,1354,2221
DVLA VDL,can_i-be-verified,2310,2917
DVLA VDL,success_register,592,601
DVLA VDL,about_identity_accounts,2590,3341
DVLA VDL,select_all_the_downuments_you_have,2191,2941
DVLA VDL,what-technology_can_you_use,2067,2814
DVLA VDL,choose_a_certified_company,2005,3022
DVLA VDL,cancel_register,564,661
DVLA VDL,about_cerified_conmpanies,2761,3657
DVLA VDL,success_sign,1119,1853
DVLA VDL,choosing,2403,3057
DVLA VDL,register_failure,11,11
DVLA VDL,about,2793,3823
DVLA VDL,select_your-certified_company,1782,3085
DVLA VDL,you'll_now_be_directed_to_your_chosen_compmay,1883,2765
DVLA VDL,sign_in_start,1663,3137
HMRC YSP,idp_chosen,5861,9830
HMRC YSP,matching,5330,9517
HMRC YSP,can_i-be-verified,6096,9977
HMRC YSP,success_register,4603,7956
HMRC YSP,about_identity_accounts,6333,10341
HMRC YSP,select_all_the_downuments_you_have,6003,10029
HMRC YSP,what-technology_can_you_use,5903,9936
HMRC YSP,choose_a_certified_company,5859,10134
HMRC YSP,cancel_register,4580,8022
HMRC YSP,about_cerified_conmpanies,6472,10596
HMRC YSP,success_sign,5128,9192
HMRC YSP,choosing,6176,10097
HMRC YSP,register_failure,4070,7417
HMRC YSP,about,6496,10738
HMRC YSP,select_your-certified_company,5694,10228
HMRC YSP,you'll_now_be_directed_to_your_chosen_compmay,5753,9922
HMRC YSP,sign_in_start,5627,10384
HMRC PTA,idp_chosen,5419,9624
HMRC PTA,matching,4806,9217
HMRC PTA,can_i-be-verified,5698,9865
HMRC PTA,success_register,4112,7734
HMRC PTA,about_identity_accounts,5941,10228
HMRC PTA,select_all_the_downuments_you_have,5589,9896
HMRC PTA,what-technology_can_you_use,5482,9782
HMRC PTA,choose_a_certified_company,5426,9979
HMRC PTA,cancel_register,4090,7798
HMRC PTA,about_cerified_conmpanies,6080,10492
HMRC PTA,success_sign,4591,8876
HMRC PTA,choosing,5785,9990
HMRC PTA,register_failure,3580,7196
HMRC PTA,about,6105,10628
HMRC PTA,select_your-certified_company,5103,9860
HMRC PTA,you'll_now_be_directed_to_your_chosen_compmay,5320,9739
HMRC PTA,sign_in_start,5072,10039
HMRC TE,idp_chosen,2448,3433
HMRC TE,matching,1814,3011
HMRC TE,can_i-be-verified,2753,3689
HMRC TE,success_register,1062,1403
HMRC TE,about_identity_accounts,3032,4110
HMRC TE,select_all_the_downuments_you_have,2636,3714
HMRC TE,what-technology_can_you_use,2514,3589
HMRC TE,choose_a_certified_company,2453,3795
HMRC TE,cancel_register,1028,1457
HMRC TE,about_cerified_conmpanies,3202,4421
HMRC TE,success_sign,1579,2643
HMRC TE,choosing,2846,3826
HMRC TE,register_failure,483,815
HMRC TE,about,3233,4583
HMRC TE,select_your-certified_company,2229,3851
HMRC TE,you'll_now_be_directed_to_your_chosen_compmay,2332,3541
HMRC TE,sign_in_start,2118,3919
